site,endangered,protected,wetland_species,invasive,plant_richness,birds_richness,nesting_birds,diversity,avg
28,1,1,0.333333333,0.222222222,0.45,0.210526316,0.25,0.47148289,0.492195595
27,0,0.5,0.583333333,0.444444444,0.6,0.473684211,0.5,0.794676806,0.487017349
25,0,1,0.75,0.666666667,0.85,0.315789474,0.5,0.475285171,0.569717664
24,1,0.5,0.5,0.222222222,0.5,0.526315789,0.5,0.756653992,0.563149001
22,0,0.5,0.75,0.333333333,0.65,0.578947368,0.5,0.836501901,0.518597825
21,1,0.5,0.5,0.111111111,0.45,0.631578947,0.875,0.874524715,0.617776847
20,0,0.5,0.666666667,0.444444444,0.65,0.526315789,0.5,0.657794677,0.493152697
18,0,0.5,0.333333333,0.333333333,0.4,,,,0.313333333
17,0,0,0.666666667,0.444444444,0.6,0.473684211,0.125,0.768060837,0.38473202
14,0,0.5,0.25,0.444444444,0.4,0.210526316,0.125,0.47148289,0.300181706
12,0,0,0.25,0.777777778,0.5,,,,0.305555556
11,0,0.5,0.916666667,0.555555556,0.85,1,1,1,0.727777778
9,1,0.5,1,0.666666667,1,0.526315789,0.5,0.840304183,0.75416083
5,0,0.5,0.666666667,0.777777778,0.8,0.526315789,0.75,0.817490494,0.604781341
4,0,0,0.666666667,1,0.85,0.526315789,0.375,0.809885932,0.528483548
1,0,0.5,0.583333333,0.666666667,0.7,0.210526316,0.25,0.501901141,0.426553432
31,0,0.5,0.25,0.111111111,0.25,0.210526316,0.75,0.984790875,0.382053538
32,0,0,0.083333333,0.444444444,0.25,0.157894737,0.375,0.996197719,0.288358779
